intern_id,attendance_pct,submission_pct,feedback_score,mentor_sessions,department,final_success,split,success_probability
INT-0001,76.6,94.36,2.51,6.0,Design,1,test,0.7567478120958513
INT-0002,57.19,64.99,3.64,5.0,Design,1,train,0.4309365229135968
INT-0003,100.0,100.0,2.86,3.0,Design,0,train,0.9092488878005527
INT-0004,94.47,65.38,4.43,6.0,Data Analytics,1,train,0.8784116653177745
INT-0005,48.57,37.07,1.93,6.0,Data Analytics,0,test,0.0815884671677349
INT-0006,64.76,44.69,3.87,2.0,Marketing,0,train,0.3120935206759425
INT-0007,58.72,46.41,3.99,6.0,Web Development,1,train,0.3635585164298913
INT-0008,73.14,81.78,2.54,8.0,Design,0,train,0.6805831950516044
INT-0009,97.74,67.95,2.75,7.0,Marketing,0,test,0.8086580052640554
INT-0010,67.38,68.71,3.4,6.0,Data Analytics,0,train,0.573320698857049
INT-0011,90.99,100.0,3.66,6.0,Marketing,1,test,0.9304807742213287
INT-0012,94.37,79.5,3.67,7.0,Design,1,train,0.896237360483766
INT-0013,87.88,67.16,4.32,2.0,Web Development,0,train,0.7831309631449012
INT-0014,73.81,91.7,3.44,6.0,Web Development,1,train,0.8018755636439509
INT-0015,67.72,93.3,3.7,1.0,Data Analytics,0,train,0.6934860080778267
INT-0016,68.07,50.32,3.64,3.0,Data Analytics,0,train,0.3854039377241551
INT-0017,76.01,69.07,4.15,8.0,Data Analytics,1,test,0.7848478405181809
INT-0018,77.7,71.46,2.81,2.0,Marketing,0,train,0.5428821451672353
INT-0019,87.15,91.36,3.64,7.0,Data Analytics,1,test,0.901011130715299
INT-0020,57.96,42.57,2.16,3.0,Web Development,0,train,0.12237109727375976
INT-0021,62.73,51.89,2.57,1.0,Data Analytics,0,train,0.19575796868975615
INT-0022,40.97,82.12,3.28,0.0,Web Development,0,test,0.24521206971258214
INT-0023,92.77,97.19,3.91,4.0,Data Analytics,1,test,0.9252548087792559
INT-0024,73.95,58.86,3.38,4.0,Web Development,1,train,0.5150016032788208
INT-0025,67.76,62.76,3.91,4.0,Design,1,test,0.5449858419773831
INT-0026,83.86,66.55,2.39,0.0,Marketing,0,test,0.4694762702445541
INT-0027,97.44,90.82,3.5,2.0,Web Development,1,train,0.8916755565215765
INT-0028,81.41,58.83,3.71,0.0,Design,1,train,0.546651284283141
INT-0029,62.43,66.83,3.11,2.0,Design,0,test,0.3681947852057711
INT-0030,90.2,82.71,4.62,8.0,Marketing,1,train,0.9348015878938633
INT-0031,100.0,100.0,5.0,1.0,Marketing,1,train,0.9616462418772761
INT-0032,75.4,73.5,3.4,6.0,Data Analytics,0,train,0.6966780007763002
INT-0033,80.64,46.59,4.4,0.0,Design,0,train,0.5233022905692168
INT-0034,54.96,63.98,1.94,5.0,Marketing,0,train,0.21418321811743343
INT-0035,100.0,97.14,3.7,8.0,Web Development,1,train,0.9581844113893829
INT-0036,84.21,96.88,4.22,3.0,Design,1,train,0.8976011641721815
INT-0037,83.9,72.12,2.7,1.0,Web Development,1,train,0.5812763788001549
INT-0038,49.36,57.22,3.19,5.0,Web Development,1,train,0.24219013914145096
INT-0039,57.15,47.12,2.21,2.0,Data Analytics,0,train,0.1273583548740841
INT-0040,100.0,81.4,4.21,8.0,Data Analytics,1,train,0.9458828504440068
INT-0041,85.8,100.0,4.51,7.0,Design,1,train,0.9474582186500885
INT-0042,94.0,79.02,3.86,5.0,Marketing,1,test,0.883513222037116
INT-0043,71.05,48.89,1.77,5.0,Design,0,train,0.2398149063952036
INT-0044,80.2,68.82,2.84,5.0,Data Analytics,1,train,0.6240376647419338
INT-0045,93.27,76.68,3.85,6.0,Data Analytics,1,train,0.881310321034965
INT-0046,78.7,70.27,3.52,4.0,Design,0,test,0.6774834256438789
INT-0047,72.39,92.74,1.95,8.0,Data Analytics,1,train,0.687408472378686
INT-0048,73.1,82.9,4.38,3.0,Design,1,train,0.7792467180543974
INT-0049,93.02,95.31,3.84,0.0,Marketing,1,train,0.8846100858407907
INT-0050,82.9,93.01,2.86,6.0,Data Analytics,1,test,0.8269174585940078
INT-0051,66.38,90.57,4.24,5.0,Design,1,train,0.7912192425409659
INT-0052,79.59,69.02,3.24,8.0,Marketing,1,train,0.7282746325395961
INT-0053,51.78,36.04,2.19,3.0,Web Development,0,test,0.07839549290336947
INT-0054,69.87,65.82,3.49,3.0,Marketing,1,train,0.516700365449768
INT-0055,57.66,58.16,4.41,5.0,Marketing,1,train,0.4779050897922075
INT-0056,62.77,45.84,4.22,3.0,Web Development,1,test,0.36257441469365276
INT-0057,66.86,61.41,3.51,7.0,Web Development,0,train,0.544246236972281
INT-0058,100.0,89.28,4.47,3.0,Design,1,train,0.9413903535341294
INT-0059,73.97,48.74,3.52,7.0,Design,0,train,0.5204748790301199
INT-0060,90.1,83.07,3.0,3.0,Web Development,0,train,0.792550348658328
INT-0061,50.52,61.57,3.01,2.0,Data Analytics,1,train,0.20998717620727808
INT-0062,74.71,69.43,2.72,8.0,Design,0,train,0.6230576241123081
INT-0063,72.11,100.0,3.7,4.0,Data Analytics,0,train,0.8236922027717428
INT-0064,74.74,83.77,3.53,6.0,Data Analytics,0,test,0.7717278352295321
INT-0065,78.55,79.32,4.11,5.0,Data Analytics,1,train,0.8096448992490725
INT-0066,82.76,84.75,3.88,3.0,Web Development,0,test,0.8196009627644866
INT-0067,61.48,70.01,1.07,8.0,Data Analytics,0,train,0.27872201548070297
INT-0068,73.15,70.7,3.29,3.0,Web Development,0,train,0.5699314665318851
INT-0069,97.31,100.0,4.28,8.0,Data Analytics,1,train,0.967877533387172
INT-0070,59.45,57.1,3.62,3.0,Web Development,0,train,0.3436325208673928
INT-0071,60.39,63.62,2.69,0.0,Marketing,0,test,0.23908947869216704
INT-0072,59.93,56.78,3.98,0.0,Web Development,1,test,0.3227076248212185
INT-0073,68.54,35.29,3.16,8.0,Design,0,train,0.3278069268782308
INT-0074,84.83,90.74,3.95,4.0,Data Analytics,1,train,0.8752133773648858
INT-0075,65.46,92.03,4.2,3.0,Data Analytics,1,test,0.7545867528469375
INT-0076,75.04,71.05,4.0,7.0,Marketing,0,test,0.7578396657940772
INT-0077,72.31,65.04,2.56,5.0,Design,1,train,0.46642131953710986
INT-0078,90.51,50.38,1.77,5.0,Data Analytics,0,test,0.4506985113399661
INT-0079,64.62,64.39,3.38,6.0,Design,0,train,0.5023882062045011
INT-0080,77.13,81.72,3.78,1.0,Data Analytics,1,train,0.7112459916720784
INT-0081,96.29,72.78,3.38,0.0,Data Analytics,1,train,0.7654274668884964
INT-0082,67.2,45.89,3.63,6.0,Web Development,1,train,0.4084473474607996
INT-0083,78.42,69.4,3.32,0.0,Design,1,train,0.551129058432236
INT-0084,65.62,58.58,4.11,6.0,Design,0,train,0.55915505473394
INT-0085,60.06,46.28,2.6,1.0,Marketing,0,train,0.15282352773268992
INT-0086,68.61,90.14,3.97,2.0,Data Analytics,1,test,0.7287370054555621
INT-0087,47.98,48.23,3.52,6.0,Data Analytics,0,train,0.2241145686153879
INT-0088,87.6,59.52,4.46,5.0,Design,0,test,0.7984145965811662
INT-0089,74.88,81.85,2.45,7.0,Marketing,0,test,0.66716369045094
INT-0090,79.7,92.72,3.3,5.0,Design,1,train,0.8229357998993825
INT-0091,73.45,99.98,4.33,0.0,Design,0,train,0.8235137157909791
INT-0092,62.52,61.11,4.43,7.0,Data Analytics,1,train,0.6091259978576545
INT-0093,70.34,78.35,3.36,1.0,Marketing,0,train,0.5628034032064125
INT-0094,69.59,59.75,3.16,1.0,Marketing,0,train,0.37294220596685607
INT-0095,58.16,70.57,3.09,7.0,Design,0,train,0.46663673791465826
INT-0096,62.27,32.97,3.28,1.0,Web Development,0,train,0.15322539175379377
INT-0097,62.69,69.44,2.49,4.0,Design,1,train,0.36213088352551814
INT-0098,66.42,46.85,3.13,4.0,Design,1,test,0.30383609556245744
INT-0099,99.37,100.0,4.43,6.0,Marketing,1,train,0.9672055328878854
INT-0100,54.65,65.79,4.27,0.0,Data Analytics,1,train,0.37065700211791763
INT-0101,72.16,51.73,3.73,0.0,Design,0,test,0.3835679798852769
INT-0102,100.0,85.48,4.08,3.0,Design,1,test,0.9201458373801277
INT-0103,85.66,77.24,3.18,4.0,Web Development,1,train,0.7551962053014581
INT-0104,74.11,98.54,4.16,7.0,Marketing,1,train,0.8925249003335951
INT-0105,61.81,56.07,2.85,5.0,Data Analytics,0,train,0.3148485722815004
INT-0106,88.71,69.34,3.43,1.0,Data Analytics,1,train,0.6977428711898555
INT-0107,69.78,67.42,2.18,8.0,Marketing,0,train,0.4810306579482946
INT-0108,75.21,68.42,4.14,4.0,Data Analytics,0,train,0.6983018277354832
INT-0109,87.59,67.34,3.02,8.0,Web Development,0,test,0.7660980585972199
INT-0110,49.98,32.98,2.23,8.0,Web Development,0,test,0.10494113252620624
INT-0111,86.96,82.24,3.69,0.0,Design,1,test,0.7741639311269926
INT-0112,78.8,92.82,4.91,4.0,Data Analytics,0,train,0.9035476047014254
INT-0113,69.26,85.12,2.81,3.0,Web Development,0,train,0.5846997155515484
INT-0114,58.54,59.78,2.21,4.0,Marketing,0,train,0.22554835006741586
INT-0115,72.23,77.18,3.05,2.0,Web Development,0,train,0.5589883904820374
INT-0116,75.91,74.01,4.3,5.0,Design,1,train,0.7760661475153244
INT-0117,100.0,66.39,1.55,4.0,Marketing,0,train,0.6403086198764203
INT-0118,60.54,70.2,2.71,1.0,Design,1,train,0.306046560711884
INT-0119,100.0,86.09,5.0,2.0,Marketing,1,train,0.945099613914082
INT-0120,67.05,50.69,3.69,1.0,Marketing,0,test,0.3383368688832065
INT-0121,69.45,60.29,2.11,7.0,Design,1,train,0.3850860129635156
INT-0122,80.98,77.47,3.46,6.0,Marketing,1,test,0.7785829309840905
INT-0123,88.7,85.15,3.56,3.0,Design,1,train,0.8371523292100792
INT-0124,100.0,100.0,4.67,3.0,Marketing,1,test,0.9625086495463521
INT-0125,91.62,88.76,5.0,0.0,Design,1,train,0.9130711663213235
INT-0126,94.32,85.5,3.85,2.0,Web Development,1,train,0.87692900391795
INT-0127,75.04,94.82,3.75,8.0,Design,1,train,0.871897869260257
INT-0128,77.26,58.76,3.36,0.0,Web Development,1,train,0.4525915459821892
INT-0129,72.79,51.6,2.59,1.0,Web Development,0,train,0.2799735018097725
INT-0130,75.81,62.35,2.21,7.0,Web Development,0,train,0.48748339867074886
INT-0131,60.34,75.12,1.97,4.0,Web Development,0,test,0.3203082195456101
INT-0132,50.42,40.6,1.62,0.0,Web Development,0,test,0.04919839096580632
INT-0133,88.35,82.89,3.09,4.0,Design,1,test,0.8017432452486956
INT-0134,74.72,59.71,2.46,6.0,Web Development,0,train,0.46050865777246675
INT-0135,60.24,41.1,2.88,3.0,Web Development,0,test,0.1765531781317699
INT-0136,74.63,40.0,2.05,3.0,Data Analytics,0,train,0.20759080978762745
INT-0137,64.74,94.74,1.36,5.0,Web Development,1,train,0.47522466984716955
INT-0138,99.47,100.0,3.09,5.0,Web Development,1,test,0.9305134703395852
INT-0139,100.0,100.0,4.07,8.0,Marketing,1,train,0.9683696410124435
INT-0140,100.0,100.0,4.43,2.0,Web Development,1,test,0.9536056632644325
INT-0141,69.09,75.98,4.67,2.0,Data Analytics,0,train,0.7093677680243414
INT-0142,69.18,98.61,2.48,1.0,Web Development,0,train,0.6061011065773193
INT-0143,24.01,34.7,2.95,5.0,Design,0,train,0.03874196634254804
INT-0144,88.23,79.86,3.52,4.0,Data Analytics,0,train,0.8193593558792952
